"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CODE-ARDUINO";"DATASHEET";"DESCRIPTION";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"HEIGHT";"MANUFACTURER";"MANUFACTURER-PN";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"TP_SIGNAL_NAME";"VALUE";
"1";"10p";"GCM1555C1H100JA16D";"CAPC1005X55N";"C3";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 10pF 50volts C0G 5%";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 10pF 50volts C0G 5%";"";"";"0.55mm";"";"";"Murata Electronics";"GCM1555C1H100JA16D";"";"";"";"";"";"";"";"";"";"";
"1";"10u";"GRM155C80J106ME11D";"CAPC1005X55N";"C32";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 10uF 6.3volts *Derate Voltage/Temp";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 10uF 6.3volts *Derate Voltage/Temp";"";"";"0.55mm";"";"";"Murata Electronics";"GRM155C80J106ME11D";"";"81-GRM155C80J106ME1D";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM155C80J106ME1D";"";"";"";"";"";"";"";
"3";"10u";"GRM188R60J106KE47D";"CAPC1608X90N";"C20, C23, C50";"MURATA - GRM188R60J106KE47D - CAP, MLCC, X5R, 10UF, 6.3V, 0603";"";"";"";"MURATA - GRM188R60J106KE47D - CAP, MLCC, X5R, 10UF, 6.3V, 0603";"";"";"0.9mm";"";"";"Murata Electronics";"GRM188R60J106KE47D";"";"81-GRM188R60J106KE7D";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM188R60J106KE7D";"";"";"";"";"";"";"";
"2";"10u";"GRM21BC81C106KE15L";"CAPC2012X145N";"C6, C11";"Capacitor SMD 0805 10uF Murata 0805 GRM 10uF Ceramic Multilayer Capacitor, 16 V dc, +105C, X6S Dielectric, +/-10% SMD";"";"";"";"Capacitor SMD 0805 10uF Murata 0805 GRM 10uF Ceramic Multilayer Capacitor, 16 V dc, +105C, X6S Dielectric, +/-10% SMD";"";"";"1.45mm";"";"";"Murata Electronics";"GRM21BC81C106KE15L";"";"81-GRM21BC81C106KE5L";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM21BC81C106KE5L";"";"";"";"";"";"";"";
"1";"15p";"GCM1555C1H150JA16D";"CAPC1005X55N";"C28";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 15pF 50volts C0G 5%";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 15pF 50volts C0G 5%";"";"";"0.55mm";"";"";"Murata Electronics";"GCM1555C1H150JA16D";"";"";"";"";"";"";"";"";"";"";
"8";"1M2";"CRCW04021M20FKED";"RESC1005X40N";"R6, R11, R12, R16, R17, R18, R19, R33";"Vishay CRCW Series Thick Film Surface Mount Resistor 402 Case 1.2M +/-1% 0.063W +/-100ppm/C";"";"";"";"Vishay CRCW Series Thick Film Surface Mount Resistor 402 Case 1.2M +/-1% 0.063W +/-100ppm/C";"";"";"0.4mm";"";"";"Vishay";"CRCW04021M20FKED";"";"71-CRCW04021M20FKED";"https://www.mouser.com/Search/Refine.aspx?Keyword=71-CRCW04021M20FKED";"";"";"";"";"";"";"";
"1";"1k96";"CRCW04021K96FKED";"RESC1005X40N";"R2";"Vishay CRCW Series Thick Film Surface Mount Resistor 0402 Case 1.96k +/-1% 0.063W +/-100ppm/C";"";"";"";"Vishay CRCW Series Thick Film Surface Mount Resistor 0402 Case 1.96k +/-1% 0.063W +/-100ppm/C";"";"";"0.4mm";"";"";"Vishay";"CRCW04021K96FKED";"";"71-CRCW0402-1.96K-E3";"https://www.mouser.com/Search/Refine.aspx?Keyword=71-CRCW0402-1.96K-E3";"";"";"";"";"";"";"";
"3";"1u";"GRM155R61C105MA12D";"CAPC1005X55N";"C8, C9, C29";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 1uF 16volts X5R 20%";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 1uF 16volts X5R 20%";"";"";"0.55mm";"";"";"Murata Electronics";"GRM155R61C105MA12D";"";"81-GRM155R61C105MA2D";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM155R61C105MA2D";"";"";"";"";"";"";"";
"1";"1u";"GRT188C8YA105KE13D";"CAPC1608X90N";"C37";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 35Vdc 1.0uF X6S 10%";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 35Vdc 1.0uF X6S 10%";"";"";"0.9mm";"";"";"Murata Electronics";"GRT188C8YA105KE13D";"";"81-GRT188C8YA105KE3D";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRT188C8YA105KE3D";"";"";"";"";"";"";"";
"2";"20p";"GJM1555C1H200GB01D";"CAPC1005X55N";"C16, C17";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 20pF 50Volts C0G 2%";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 20pF 50Volts C0G 2%";"";"";"0.55mm";"";"";"Murata Electronics";"GJM1555C1H200GB01D";"";"";"";"";"";"";"";"";"";"";
"1";"27nH";"L-14C27NJV4T";"INDC1608X95N";"L3";"Inductor RF Chip Multi-Layer 27nH 5% 100MHz 10Q-Factor Ceramic 300mA 600mOhm DCR 0603 T/R";"";"";"";"Inductor RF Chip Multi-Layer 27nH 5% 100MHz 10Q-Factor Ceramic 300mA 600mOhm DCR 0603 T/R";"";"";"0.95mm";"";"";"JOHANSON TECHNOLOGY";"L-14C27NJV4T";"";"";"";"";"";"";"";"";"";"";
"1";"28k";"CRCW040228K0FKED";"RESC1005X40N";"R3";"Vishay CRCW Series Thick Film Surface Mount Resistor 0402 Case 28k +/-1% 0.063W +/-100ppm/C";"";"";"";"Vishay CRCW Series Thick Film Surface Mount Resistor 0402 Case 28k +/-1% 0.063W +/-100ppm/C";"";"";"0.4mm";"";"";"Vishay";"CRCW040228K0FKED";"";"71-CRCW0402-28K-E3";"https://www.mouser.com/Search/Refine.aspx?Keyword=71-CRCW0402-28K-E3";"";"";"";"";"";"";"";
"2";"2N7002,215";"2N7002,215";"SOT95P230X110-3N";"Q2, Q3";"MOSFET N-Channel 60V 0.3A TO236AB NXP 2N7002,215 N-channel MOSFET Transistor, 0.3 A, 60 V, 3-Pin TO-236AB";"";"";"";"MOSFET N-Channel 60V 0.3A TO236AB NXP 2N7002,215 N-channel MOSFET Transistor, 0.3 A, 60 V, 3-Pin TO-236AB";"";"";"1.1mm";"";"";"Nexperia";"2N7002,215";"";"771-2N7002-T/R";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-2N7002-T%2FR";"";"";"";"";"";"";"";
"2";"2N7002DW-7-F";"2N7002DW-7-F";"SOT65P210X100-6N";"Q1, Q4";"Diodes Inc 2N7002DW-7-F Dual N-channel MOSFET, 115 mA, 60 V, 6-Pin SOT-363";"";"";"";"Diodes Inc 2N7002DW-7-F Dual N-channel MOSFET, 115 mA, 60 V, 6-Pin SOT-363";"";"";"1mm";"";"";"Diodes Inc.";"2N7002DW-7-F";"";"621-2N7002DW-F";"https://www.mouser.com/Search/Refine.aspx?Keyword=621-2N7002DW-F";"";"";"";"";"";"";"";
"1";"2n2";"GRM155R71H222KA01D";"CAPC1005X55N";"C4";"Murata 0402 GRM 2.2nF Ceramic Multilayer Capacitor, 50 V dc, +125C, X7R Dielectric, +/-10%";"";"";"";"Murata 0402 GRM 2.2nF Ceramic Multilayer Capacitor, 50 V dc, +125C, X7R Dielectric, +/-10%";"";"";"0.55mm";"";"";"Murata Electronics";"GRM155R71H222KA01D";"";"81-GRM36X222K50";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM36X222K50";"";"";"";"";"";"";"";
"1";"39R";"CRCW040239R0FKEDHP";"RESC1005X40N";"R39";"Thick Film Resistors - SMD 0.2W 39ohms 1% High Power AEC-Q200";"";"";"";"Thick Film Resistors - SMD 0.2W 39ohms 1% High Power AEC-Q200";"";"";"0.4mm";"";"";"Vishay";"CRCW040239R0FKEDHP";"";"71-CRCW040239R0FKEDH";"https://www.mouser.com/Search/Refine.aspx?Keyword=71-CRCW040239R0FKEDH";"";"";"";"";"";"";"";
"1";"40k2";"CRCW040240K2FKED";"RESC1005X40N";"R35";"CRCW0402 Resistor T/R 0.063W,1%,40K2 Vishay CRCW Series Thick Film Surface Mount Resistor 0402 Case 40.2k +/-1% 0.063W +/-100ppm/C";"";"";"";"CRCW0402 Resistor T/R 0.063W,1%,40K2 Vishay CRCW Series Thick Film Surface Mount Resistor 0402 Case 40.2k +/-1% 0.063W +/-100ppm/C";"";"";"0.4mm";"";"";"Vishay";"CRCW040240K2FKED";"";"71-CRCW0402-40.2K-E3";"https://www.mouser.com/Search/Refine.aspx?Keyword=71-CRCW0402-40.2K-E3";"";"";"";"";"";"";"";
"1";"43045-1400";"43045-1400";"43045-1400";"J4";"14 way microfit 3mm dual row r/a header Molex MICRO-FIT 3.0 Series, Series Number 43045, 3mm Pitch 14 Way 2 Row Shrouded Right Angle PCB Header, Through Hole";"";"";"";"14 way microfit 3mm dual row r/a header Molex MICRO-FIT 3.0 Series, Series Number 43045, 3mm Pitch 14 Way 2 Row Shrouded Right Angle PCB Header, Through Hole";"";"";"mm";"";"";"Molex";"43045-1400";"";"538-43045-1400";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-43045-1400";"";"";"";"";"";"";"";
"1";"470R";"CRGCQ0402J470R";"RESC1005X35N";"R32";"Thick Film Resistors - SMD CRGCQ 0402 470R 5% SMD Resistor";"";"";"";"Thick Film Resistors - SMD CRGCQ 0402 470R 5% SMD Resistor";"";"";"0.35mm";"";"";"TE Connectivity / Holsworthy";"CRGCQ0402J470R";"";"";"";"";"";"";"";"";"";"";
"1";"47p";"GRM1555C1H470JA01D";"CAPC1005X55N";"C36";"Murata 0402 GRM 47pF Ceramic Multilayer Capacitor, 50 V dc, +125C, C0G Dielectric, +/-5% SMD";"";"";"";"Murata 0402 GRM 47pF Ceramic Multilayer Capacitor, 50 V dc, +125C, C0G Dielectric, +/-5% SMD";"";"";"0.55mm";"";"";"Murata Electronics";"GRM1555C1H470JA01D";"";"81-GRM1555C1H470JA1D";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM1555C1H470JA1D";"";"";"";"";"";"";"";
"1";"4n7";"GRM155R71H472KA01J";"CAPC1005X55N";"C43";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.0047uF 50volts 10%";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.0047uF 50volts 10%";"";"";"0.55mm";"";"";"Murata Electronics";"GRM155R71H472KA01J";"";"81-GRM155R71H472KA1J";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM155R71H472KA1J";"";"";"";"";"";"";"";
"1";"68p";"GCM1555C1H680JA16D";"CAPC1005X55N";"C26";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 68pF 50volts C0G 5%";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 68pF 50volts C0G 5%";"";"";"0.55mm";"";"";"Murata Electronics";"GCM1555C1H680JA16D";"";"";"";"";"";"";"";"";"";"";
"1";"8n2";"GRM155R71C822KA01D";"CAPC1005X55N";"C5";"Chip Capacitor value VALUE1";"";"";"";"Chip Capacitor value VALUE1";"";"";"0.55mm";"";"";"Murata Electronics";"GRM155R71C822KA01D";"";"81-GRM155R71C822KA1D";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM155R71C822KA1D";"";"";"";"";"";"";"";
"1";"ABS07-32.768KHZ-1-T";"ABS07-32.768KHZ-1-T";"ABS0716632768KHZT";"Y1";"Abracon 32.768kHz Crystal Unit +/-10ppm SMD 2-Pin 3.2 x 1.5 x 0.9mm";"";"";"";"Abracon 32.768kHz Crystal Unit +/-10ppm SMD 2-Pin 3.2 x 1.5 x 0.9mm";"";"";"0.9mm";"";"";"ABRACON";"ABS07-32.768KHz-1-T";"";"815-ABS07-32.7K-1-T";"https://www.mouser.com/Search/Refine.aspx?Keyword=815-ABS07-32.7K-1-T";"";"";"";"";"";"";"";
"1";"AP2112K-3.3TRG1";"AP2112K-3.3TRG1";"SOT95P282X130-5N";"IC3";"600mA 3.3V LDO Regulator Enable SOT23-5 DiodesZetex AP2112K-3.3TRG1, LDO Voltage Regulator, 3.3 V +/-1.5%, 2.5  6 Vin, 5-Pin SOT-23";"";"";"";"600mA 3.3V LDO Regulator Enable SOT23-5 DiodesZetex AP2112K-3.3TRG1, LDO Voltage Regulator, 3.3 V +/-1.5%, 2.5  6 Vin, 5-Pin SOT-23";"";"";"1.3mm";"";"";"Diodes Inc.";"AP2112K-3.3TRG1";"";"621-AP2112K-3.3TRG1";"https://www.mouser.com/Search/Refine.aspx?Keyword=621-AP2112K-3.3TRG1";"";"";"";"";"";"";"";
"1";"ATECC508A-MAHDA-T";"ATECC508A-MAHDA-T";"SON50P300X200X60-9N";"IC6";"Microchip ATECC508A-MAHDA-T 10kb 8-Pin Crypto Authentication IC UDFN";"";"";"";"Microchip ATECC508A-MAHDA-T 10kb 8-Pin Crypto Authentication IC UDFN";"";"";"0.6mm";"";"";"Microchip";"ATECC508A-MAHDA-T";"";"556-ATECC508A-MAHDAT";"https://www.mouser.com/Search/Refine.aspx?Keyword=556-ATECC508A-MAHDAT";"";"";"";"";"";"";"";
"1";"ATSAMD21G18A-AU";"ATSAMD21G18A-AU";"QFP50P900X900X120-48N";"IC1";"ATMEL - ATSAMD21G18A-AU - MCU, 32BIT, CORTEX-M0+, 48MHZ, TQFP-48";"";"";"";"ATMEL - ATSAMD21G18A-AU - MCU, 32BIT, CORTEX-M0+, 48MHZ, TQFP-48";"";"";"1.2mm";"";"";"Microchip";"ATSAMD21G18A-AU";"";"556-ATSAMD21G18A-AU";"https://www.mouser.com/Search/Refine.aspx?Keyword=556-ATSAMD21G18A-AU";"";"";"";"";"";"";"";
"1";"BAT60AE6327HTSA1";"BAT60AE6327HTSA1";"SOD2513X110N";"D9";"INFINEON - BAT60AE6327HTSA1 - RECTIFIER, SCHOTTKY, 3A, 10V, SOD-323";"";"";"";"INFINEON - BAT60AE6327HTSA1 - RECTIFIER, SCHOTTKY, 3A, 10V, SOD-323";"";"";"1.1mm";"";"";"Infineon";"BAT60AE6327HTSA1";"";"726-BAT60AE6327HTSA1";"https://www.mouser.com/Search/Refine.aspx?Keyword=726-BAT60AE6327HTSA1";"";"";"";"";"";"";"";
"2";"BLM15HD102SN1D";"BLM15HD102SN1D";"BEADC1005X55N";"FB2, FB3";"MURATA - BLM15HD102SN1D - FERRITE BEAD, 1.25OHM, 250MA, 0402";"";"";"";"MURATA - BLM15HD102SN1D - FERRITE BEAD, 1.25OHM, 250MA, 0402";"";"";"0.55mm";"";"";"Murata Electronics";"BLM15HD102SN1D";"";"81-BLM15HD102SN1D";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-BLM15HD102SN1D";"";"";"";"";"";"";"";
"1";"BLM18PG471SZ1D";"BLM18PG471SZ1D";"BEADC1608X95N";"FB1";"Ferrite Beads 0603 470ohms 1000mA Auto Infotainment";"";"";"";"Ferrite Beads 0603 470ohms 1000mA Auto Infotainment";"";"";"0.95mm";"";"";"Murata Electronics";"BLM18PG471SZ1D";"";"81-BLM18PG471SZ1D";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-BLM18PG471SZ1D";"";"";"";"";"";"";"";
"2";"BSP76E6433HUMA1";"BSP76E6433HUMA1";"SOT230P700X170-4N";"Q5, Q6";"INFINEON - BSP76E6433HUMA1 - POWER LOAD SW, AEC-Q100, 42V, SOT-223-4";"";"";"";"INFINEON - BSP76E6433HUMA1 - POWER LOAD SW, AEC-Q100, 42V, SOT-223-4";"";"";"1.7mm";"";"";"Infineon";"BSP76E6433HUMA1";"";"";"";"";"";"";"";"";"";"";
"1";"C2012X5R1A336M125AC";"C2012X5R1A336M125AC";"CAPC2012X145N";"C14";"TDK 0805 C 33uF Ceramic Multilayer Capacitor, 10 V dc, +85C, X5R Dielectric, +/-20%";"";"";"";"TDK 0805 C 33uF Ceramic Multilayer Capacitor, 10 V dc, +85C, X5R Dielectric, +/-20%";"";"";"1.45mm";"";"";"TDK";"C2012X5R1A336M125AC";"";"810-C2012X5R1A336M";"https://www.mouser.com/Search/Refine.aspx?Keyword=810-C2012X5R1A336M";"";"";"";"";"";"";"";
"2";"C2012X5R1V106K085AC";"C2012X5R1V106K085AC";"CAPC2012X100N";"C12, C13";"Capacitor MLCC 0805 35V 10uF X5R TDK 10uF Multilayer Ceramic Capacitor (MLCC) 35 V dc +/-10% X5R dielectric C SMT max op. temp. +85C";"";"";"";"Capacitor MLCC 0805 35V 10uF X5R TDK 10uF Multilayer Ceramic Capacitor (MLCC) 35 V dc +/-10% X5R dielectric C SMT max op. temp. +85C";"";"";"1mm";"";"";"TDK";"C2012X5R1V106K085AC";"";"810-C2012X5R1V106K0C";"https://www.mouser.com/Search/Refine.aspx?Keyword=810-C2012X5R1V106K0C";"";"";"";"";"";"";"";
