Netlist

Exported from 001000-003.sch at 6/10/2019 1:29 PM

EAGLE Version 9.4.0 Copyright (c) 1988-2019 Autodesk, Inc.

Net             Part     Pad      Pin        Sheet

+1V8            C44      1        1          1
                IC8      9        EP         3
                IC9      2        GNDA       4
                IC9      5        GNDB       4
                J1       10       HD1        1
                J1       11       HD4        1
                J1       4        C5         1
                J1       7        HD3        1
                J1       9        HD2,_DSW1  1
                J2       6        VSS        3
                J3       1        1          6
                J3       2        2          6
                J3       3        3          6
                J3       4        4          6
                J4       12       12         6
                J4       2        2          6
                J5       5        5          6
                J6       1        1          6
                J6       2        2          6
                J6       3        3          6
                J6       4        4          6
                L4       1        1          1
                LED3     1        K          1
                Q1       1        S1         3
                Q1       4        S2         3
                Q3       2        2          1
                Q4       1        S1         1
                Q4       4        S2         1
                Q5       3        S          3
                Q6       3        S          3
                R10      1        1          2
                R11      1        1          3
                R12      1        1          3
                R14      2        2          1
                R18      1        1          1
                R19      1        1          1
                R2       1        1          2
                R33      1        1          6
                R7       1        1          2
                U$1      10_GND   10_GND     5
                U$1      12_GND   12_GND     5
                U$1      1_GND    1_GND      5
                U1       1        DIR2       1
                U1       2        OE_N       1
                U1       3        GND        1

GPS_ANT         J3       5        5          6
                L3       2        2          5
                U$1      11_RF_IN 11_RF_IN   5

GPS_BCKP        R5       1        1          2
                U$1      6_V_BCKP 6_V_BCKP   5

LOCK_OUT        J4       13       13         6
                R20      2        2          3

LOCK_PIN        Q5       1        IN         3

MCTS            IC2      11       CTS        1
                R34      1        1          1

MDTR            IC2      9        DTR        1
                R14      1        1          1

MRI             IC2      7        RI         1

MRST            IC2      18       RESET_N    1
                Q4       3        D2         1
                TP2      TP       TP         1

MRTS            IC2      10       RTS        1
                R34      2        2          1

MRX             IC2      13       RXD        1
                U1       4        B2         1

MTX             IC2      12       TXD        1
                TP8      TP       TP         1
                U1       5        B1         1

M_ANT_OUT       C42      2        2          1
                J6       5        5          6

M_USB_N         IC2      28       USB_D-     1
                TP6      TP       TP         1

M_USB_P         IC2      29       USB_D+     1
                TP7      TP       TP         1

M_VUSB          IC2      17       VUSB_DET   1
                TP5      TP       TP         1

